               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  99,            0.023925,           0.0064421,           0.0021938,                0.74,             0.52435,             0.61394,              0.2913,            0.061582,           0.0069583,            0.011509,            0.003532,            0.003532,            0.003532
                 100,            0.022502,           0.0063527,           0.0016317,              0.7867,             0.53489,             0.59511,              0.2787,            0.061664,           0.0069586,            0.011951,            0.003466,            0.003466,            0.003466
                 101,            0.022976,           0.0069183,           0.0018383,             0.77674,             0.52633,              0.5777,             0.26655,            0.065642,            0.006852,            0.012172,              0.0034,              0.0034,              0.0034
                 102,            0.022568,           0.0066117,           0.0017779,             0.78205,             0.51761,              0.5798,             0.27837,            0.064244,           0.0068841,            0.011482,            0.003334,            0.003334,            0.003334
                 103,            0.022447,           0.0063443,           0.0020791,             0.77383,             0.52288,             0.56988,              0.2634,            0.065327,           0.0069933,            0.011085,            0.003268,            0.003268,            0.003268
                 104,            0.023669,           0.0073942,           0.0013878,             0.84305,             0.55801,             0.60735,             0.28216,            0.064023,           0.0069645,            0.010774,            0.003202,            0.003202,            0.003202
                 105,            0.021633,           0.0069318,            0.001547,             0.78501,             0.53349,             0.58612,             0.26451,            0.064695,           0.0069698,            0.010698,            0.003136,            0.003136,            0.003136
                 106,            0.021051,           0.0067224,           0.0013546,              0.7266,             0.48597,             0.54923,             0.25225,            0.064563,           0.0069598,            0.010784,             0.00307,             0.00307,             0.00307
                 107,            0.021827,           0.0069893,           0.0017331,             0.60937,             0.55714,             0.57466,             0.25798,            0.064773,           0.0070227,            0.010366,            0.003004,            0.003004,            0.003004
                 108,            0.022195,           0.0064238,           0.0012699,             0.64102,             0.60928,             0.64076,             0.27456,             0.06134,           0.0071728,           0.0099622,            0.002938,            0.002938,            0.002938
                 109,            0.022408,           0.0071463,           0.0013172,             0.60412,             0.59813,             0.58052,             0.25584,            0.063977,           0.0072093,           0.0099936,            0.002872,            0.002872,            0.002872
                 110,            0.022922,           0.0070045,           0.0025354,             0.78393,             0.53342,             0.60181,             0.26029,             0.06323,            0.007193,           0.0097662,            0.002806,            0.002806,            0.002806
